"Glycolysis / Gluconeogenesis","map00010","Metabolism","Carbohydrate metabolism"
"Citrate cycle (TCA cycle)","map00020","Metabolism","Carbohydrate metabolism"
"Pentose phosphate pathway","map00030","Metabolism","Carbohydrate metabolism"
"Pentose and glucuronate interconversions","map00040","Metabolism","Carbohydrate metabolism"
"Fructose and mannose metabolism","map00051","Metabolism","Carbohydrate metabolism"
"Galactose metabolism","map00052","Metabolism","Carbohydrate metabolism"
"Ascorbate and aldarate metabolism","map00053","Metabolism","Carbohydrate metabolism"
"Fatty acid biosynthesis","map00061","Metabolism","Lipid metabolism"
"Fatty acid elongation","map00062","Metabolism","Lipid metabolism"
"Fatty acid degradation","map00071","Metabolism","Lipid metabolism"
"Synthesis and degradation of ketone bodies","map00072","Metabolism","Lipid metabolism"
"Cutin, suberine and wax biosynthesis","map00073","Metabolism","Lipid metabolism"
"Steroid biosynthesis","map00100","Metabolism","Lipid metabolism"
"Primary bile acid biosynthesis","map00120","Metabolism","Lipid metabolism"
"Secondary bile acid biosynthesis","map00121","Metabolism","Lipid metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","map00130","Metabolism","Metabolism of cofactors and vitamins"
"Steroid hormone biosynthesis","map00140","Metabolism","Lipid metabolism"
"Oxidative phosphorylation","map00190","Metabolism","Energy metabolism"
"Photosynthesis","map00195","Metabolism","Energy metabolism"
"Photosynthesis - antenna proteins","map00196","Metabolism","Energy metabolism"
"Arginine biosynthesis","map00220","Metabolism","Amino acid metabolism"
"Purine metabolism","map00230","Metabolism","Nucleotide metabolism"
"Puromycin biosynthesis","map00231","Metabolism","Biosynthesis of other secondary metabolites"
"Caffeine metabolism","map00232","Metabolism","Biosynthesis of other secondary metabolites"
"Pyrimidine metabolism","map00240","Metabolism","Nucleotide metabolism"
"Alanine, aspartate and glutamate metabolism","map00250","Metabolism","Amino acid metabolism"
"Tetracycline biosynthesis","map00253","Metabolism","Metabolism of terpenoids and polyketides"
"Aflatoxin biosynthesis","map00254","Metabolism","Biosynthesis of other secondary metabolites"
"Glycine, serine and threonine metabolism","map00260","Metabolism","Amino acid metabolism"
"Monobactam biosynthesis","map00261","Metabolism","Biosynthesis of other secondary metabolites"
"Cysteine and methionine metabolism","map00270","Metabolism","Amino acid metabolism"
"Valine, leucine and isoleucine degradation","map00280","Metabolism","Amino acid metabolism"
"Geraniol degradation","map00281","Metabolism","Metabolism of terpenoids and polyketides"
"Valine, leucine and isoleucine biosynthesis","map00290","Metabolism","Amino acid metabolism"
"Lysine biosynthesis","map00300","Metabolism","Amino acid metabolism"
"Lysine degradation","map00310","Metabolism","Amino acid metabolism"
"Penicillin and cephalosporin biosynthesis","map00311","Metabolism","Biosynthesis of other secondary metabolites"
"Arginine and proline metabolism","map00330","Metabolism","Amino acid metabolism"
"Clavulanic acid biosynthesis","map00331","Metabolism","Biosynthesis of other secondary metabolites"
"Carbapenem biosynthesis","map00332","Metabolism","Biosynthesis of other secondary metabolites"
"Histidine metabolism","map00340","Metabolism","Amino acid metabolism"
"Tyrosine metabolism","map00350","Metabolism","Amino acid metabolism"
"DDT degradation","map00351","Metabolism","Xenobiotics biodegradation and metabolism"
"Phenylalanine metabolism","map00360","Metabolism","Amino acid metabolism"
"Chlorocyclohexane and chlorobenzene degradation","map00361","Metabolism","Xenobiotics biodegradation and metabolism"
"Benzoate degradation","map00362","Metabolism","Xenobiotics biodegradation and metabolism"
"Bisphenol degradation","map00363","Metabolism","Xenobiotics biodegradation and metabolism"
"Fluorobenzoate degradation","map00364","Metabolism","Xenobiotics biodegradation and metabolism"
"Furfural degradation","map00365","Metabolism","Xenobiotics biodegradation and metabolism"
"Tryptophan metabolism","map00380","Metabolism","Amino acid metabolism"
"Phenylalanine, tyrosine and tryptophan biosynthesis","map00400","Metabolism","Amino acid metabolism"
"Novobiocin biosynthesis","map00401","Metabolism","Biosynthesis of other secondary metabolites"
"Benzoxazinoid biosynthesis","map00402","Metabolism","Biosynthesis of other secondary metabolites"
"Indole diterpene alkaloid biosynthesis","map00403","Metabolism","Biosynthesis of other secondary metabolites"
